,File,Frequency,lines_modified
2876,AbstractSessionBytesStoreTest.java,13,735
2877,AbstractWindowBytesStoreTest.java,14,1316
2887,HighAvailabilityStreamsPartitionAssignorTest.java,12,395
2889,EosBetaUpgradeIntegrationTest.java,15,1757
2908,WorkerWithTopicCreationTest.java,9,3204
3003,KStreamSlidingWindowAggregate.java,12,1392
3007,KStreamSlidingWindowAggregateTest.java,10,3418
3053,KafkaRaftClient.java,58,4808
3055,LeaderState.java,15,618
3061,QuorumState.java,14,712
3063,RaftClient.java,19,463
3064,RaftConfig.java,10,570
3069,ReplicatedCounter.java,11,499
3070,ReplicatedLog.java,16,437
3079,KafkaRaftClientTest.java,30,7339
3083,MockLog.java,21,1300
3084,MockLogTest.java,18,1335
3087,QuorumStateTest.java,10,1191
3089,RaftEventSimulationTest.java,28,2608
3114,CachingInMemorySessionStoreTest.java,9,605
3115,CachingPersistentSessionStoreTest.java,9,1169
3116,CachingPersistentWindowStoreTest.java,12,694
3128,RaftClientTestContext.java,34,1983
3131,BatchAccumulator.java,11,742
3167,StreamsUncaughtExceptionHandlerIntegrationTest.java,10,633
3178,AdjustStreamThreadCountTest.java,15,898
3183,SnapshotWriter.java,14,584
3216,KafkaRaftClientSnapshotTest.java,17,2334
3231,MirrorConnectorsIntegrationBaseTest.java,13,1185
3243,Tasks.java,9,367
3318,Controller.java,15,488
3329,LocalLogManager.java,21,1849
3354,MetadataNodeManager.java,10,461
3373,ClusterControlManager.java,18,766
3374,ConfigurationControlManager.java,15,783
3381,QuorumController.java,52,3118
3385,ReplicationControlManager.java,38,3458
3391,ClusterControlManagerTest.java,13,398
3392,ConfigurationControlManagerTest.java,14,825
3395,FeatureControlManagerTest.java,11,599
3398,QuorumControllerTest.java,37,1850
3401,ReplicationControlManagerTest.java,37,2972
3423,MockController.java,14,570
3427,EmitOnChangeIntegrationTest.java,12,702
3433,KafkaClusterTestKit.java,11,562
3452,SnapshotReader.java,9,358
3458,RocksDBTimeOrderedWindowStore.java,10,702
3503,KStreamKStreamOuterJoinTest.java,13,1881
3506,KafkaStreamsNamedTopologyWrapper.java,15,801
3524,TopologyMetadata.java,21,984
3560,NamedTopologyIntegrationTest.java,21,1863
3602,MetadataDelta.java,9,471
3774,StoreQueryUtils.java,9,470
3776,IQv2StoreIntegrationTest.java,11,2013
